Sr. No.,Institute Code,Institute Name,Status,Total Intake,Location,Branch,cutoff
78,3190,"Terna Engineering College, Nerul, Navi Mumbai",Un-Aided,720,Navi Mumbai,Info Tech.,90.52
79,3190,"Terna Engineering College, Nerul, Navi Mumbai",Un-Aided,720,Navi Mumbai,AI & Data Sci,89.4
80,3190,"Terna Engineering College, Nerul, Navi Mumbai",Un-Aided,720,Navi Mumbai,ETRX & Tel. Comm.,70.86
81,3192,"Smt. Indira Gandhi College of Engineering, Thane, Navi Mumbai",Un-Aided,300,Navi Mumbai,Comp. Engg.,87.98
82,3035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",University Managed (Un-Aided),300,Mumbai,ETRX & Communication Engg.,49.44
83,3035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",University Managed (Un-Aided),300,Mumbai,Data Science,74.09
84,3035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",University Managed (Un-Aided),300,Mumbai,Comp. Sci & Tech.,82.44
85,3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Un-Aided,340,Mumbai,Comp. Engg.,82.4
86,3192,"Smt. Indira Gandhi College of Engineering, Thane, Navi Mumbai",Un-Aided,300,Navi Mumbai,Comp. Sci & Engg. (AI & Machine Learning),82.38
87,3192,"Smt. Indira Gandhi College of Engineering, Thane, Navi Mumbai",Un-Aided,300,Navi Mumbai,Comp. Sci & Engg. (IoT & Cyber Security),77.6
88,3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai","Un-Aided, Linguistic Minority - Hindi",540,Navi Mumbai,Comp. Engg.,89.03
89,3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai","Un-Aided, Linguistic Minority - Hindi",540,Navi Mumbai,ETRX & Tel. Comm.,69.34
90,3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai","Un-Aided, Linguistic Minority - Hindi",540,Navi Mumbai,Comp. Sci & Engg. (AI & Machine Learning),80.37
91,3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai","Un-Aided, Linguistic Minority - Hindi",540,Navi Mumbai,Comp. Sci & Engg. (IoT & Cyber Security) -AI,77.82
92,3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai","Un-Aided, Linguistic Minority - Hindi",540,Navi Mumbai,Comp. Sci & Engg. (Data Sci),82.37
93,3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai","Un-Aided, Religious Minority - Christian",420,Navi Mumbai,Comp. Engg.,96.49
94,3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Un-Aided,340,Mumbai,Info Tech.,81.99
95,3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Un-Aided,340,Mumbai,ETRX & Tel. Comm.,48.77
96,3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Un-Aided,340,Mumbai,Artificial Intelligence & Machine Learning,76.18
97,3203,"Atharva College of Engineering,Malad(West),Mumbai",Un-Aided,480,Mumbai,Comp. Engg.,92.63
98,3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai","Un-Aided, Religious Minority - Christian",420,Navi Mumbai,Info Tech.,95.92
99,3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai","Un-Aided, Religious Minority - Christian",420,Navi Mumbai,ETRX & Tel. Comm.,91.09
100,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel","Un-Aided, Autonomous, Linguistic Minority - Malyalam",630,Navi Mumbai,Comp. Engg.,92.86
101,3203,"Atharva College of Engineering,Malad(West),Mumbai",Un-Aided,480,Mumbai,Info Tech.,91.54
102,3203,"Atharva College of Engineering,Malad(West),Mumbai",Un-Aided,480,Mumbai,ETRX & Tel. Communication,75.56
103,3203,"Atharva College of Engineering,Malad(West),Mumbai",Un-Aided,480,Mumbai,ETRX & Comp. Sci,80.91
104,3208,"Don Bosco Institute of Technology, Mumbai","Un-Aided, Religious Minority - Roman Catholics",300,Mumbai,Comp. Engg.,95.8
105,3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)","Un-Aided, Linguistic Minority - Punjabi",240,Thane,Comp. Engg.,85.72
106,3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)","Un-Aided, Linguistic Minority - Punjabi",240,Thane,Info Tech.,84.57
107,3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)","Un-Aided, Linguistic Minority - Punjabi",240,Thane,ETRX & Tel. Comm.,54.16
